Pos,Name,Time,Category (POS),Gender (POS),Swim,T1,Cycle,T2,Run,Bib,Category_pos,Gender_pos,Category,Gender
731,Moranda MOREY-STEPHENS ,13:54:41,30-34 (15),Female (139),01:12:50,00:04:52,06:52:23,00:05:03,05:39:31,#601,15,139,30-34,Female 
732,Derek SAMS ,13:54:56,50-54 (63),Male (593),01:29:19,00:06:46,06:30:05,00:09:23,05:39:20,#1059,63,593,50-54,Male 
733,Osamu OGASAWARA ,13:55:02,45-49 (131),Male (594),01:35:22,00:13:00,06:43:57,00:07:01,05:15:41,#941,131,594,45-49,Male 
734,Axel WEICHEL ,13:57:04,50-54 (64),Male (595),01:21:35,00:06:37,06:21:41,00:05:26,06:01:44,#225,64,595,50-54,Male 
735,Koji NOBUKA ,13:57:09,70-74 (1),Male (596),01:38:53,00:14:05,07:21:50,00:07:09,04:35:10,#1172,1,596,70-74,Male 
736,Melodie AITKEN ,13:57:11,40-44 (21),Female (140),01:39:39,00:09:54,06:53:58,00:10:48,05:02:49,#831,21,140,40-44,Female 
737,Paula BELLUSSI ,13:57:36,40-44 (22),Female (141),01:29:30,00:13:07,05:48:40,00:07:15,06:19:03,#832,22,141,40-44,Female 
738,Lisa NELSON ,13:57:41,30-34 (16),Female (142),01:42:05,00:13:30,06:39:58,00:18:14,05:03:51,#602,16,142,30-34,Female 
739,Hua Qun Melvin LEE ,13:58:07,35-39 (91),Male (597),01:34:30,00:10:11,06:38:58,00:12:09,05:22:18,#651,91,597,35-39,Male 
740,Tony TURTON ,13:58:20,55-59 (36),Male (598),01:10:33,00:10:48,05:51:29,00:13:48,06:31:40,#1132,36,598,55-59,Male 
741,Megan KINNE ,13:59:33,40-44 (23),Female (143),01:25:06,00:05:39,06:18:17,00:05:17,06:05:11,#375,23,143,40-44,Female 
742,Susane BELKHIATI ,13:59:40,50-54 (19),Female (144),01:35:11,00:10:41,06:30:43,00:08:28,05:34:35,#196,19,144,50-54,Female 
743,Neyton TAN ,14:00:05,30-34 (75),Male (599),01:34:52,00:13:01,07:16:43,00:10:15,04:45:13,#576,75,599,30-34,Male 
744,Chris PARKINSON ,14:00:39,50-54 (65),Male (600),01:02:13,00:06:05,05:53:48,00:09:10,06:49:21,#1055,65,600,50-54,Male 
745,Alan BUTLER ,14:00:54,30-34 (76),Male (601),01:42:50,00:11:26,06:57:54,00:13:22,04:55:20,#517,76,601,30-34,Male 
746,Rachel MATTHEWS ,14:01:17,45-49 (29),Female (145),01:06:10,00:06:07,05:26:59,00:04:12,07:17:48,#233,29,145,45-49,Female 
747,Monica BORRILL ,14:01:19,55-59 (6),Female (146),01:20:54,00:06:10,06:34:15,00:05:12,05:54:46,#1140,6,146,55-59,Female 
748,Arvid SWARTSENBURG ,14:01:22,40-44 (108),Male (602),01:17:43,00:10:25,06:23:22,00:12:52,05:56:58,#811,108,602,40-44,Male 
749,Dawn HILLIER-DAVIS ,14:01:42,40-44 (24),Female (147),01:41:14,00:14:03,06:33:54,00:12:59,05:19:30,#839,24,147,40-44,Female 
750,Mandy COLES ,14:01:56,50-54 (20),Female (148),01:19:46,00:10:07,06:46:24,00:07:42,05:37:57,#1085,20,148,50-54,Female 
751,Justin HARTLEY ,14:01:57,30-34 (77),Male (603),01:29:53,00:12:43,06:22:26,00:12:42,05:44:10,#538,77,603,30-34,Male 
752,Clare GOLDSWORTHY ,14:02:54,30-34 (17),Female (149),01:17:52,00:07:08,06:49:12,00:05:55,05:42:46,#595,17,149,30-34,Female 
753,Renny LING ,14:03:23,45-49 (132),Male (604),01:27:18,00:14:40,06:47:52,00:08:05,05:25:26,#350,132,604,45-49,Male 
754,Philip GREGSON ,14:03:38,50-54 (66),Male (605),01:22:35,00:06:10,06:08:26,00:05:46,06:20:40,#103,66,605,50-54,Male 
755,Claire ROBERTSON ,14:04:00,45-49 (30),Female (150),01:24:16,00:09:00,06:40:38,00:11:45,05:38:19,#1009,30,150,45-49,Female 
756,Yusuke SAKURAGI ,14:04:04,35-39 (92),Male (606),01:31:55,00:10:54,07:17:44,00:06:26,04:57:03,#684,92,606,35-39,Male 
757,Melani HAYS ,14:05:30,45-49 (31),Female (151),01:25:18,00:12:28,06:23:32,00:12:26,05:51:44,#996,31,151,45-49,Female 
758,John DOVER ,14:05:39,35-39 (93),Male (607),01:06:03,00:09:21,06:44:15,00:08:11,05:57:47,#625,93,607,35-39,Male 
759,Ng CHOR KENG ,14:05:52,35-39 (94),Male (608),01:32:07,00:11:25,06:47:26,00:13:31,05:21:21,#621,94,608,35-39,Male 
760,Bruce AITKEN ,14:06:43,45-49 (133),Male (609),01:12:18,00:09:12,05:53:56,00:08:30,06:42:44,#858,133,609,45-49,Male 
761,Bradley EHRMAN ,14:07:11,35-39 (95),Male (610),01:32:50,00:09:46,06:31:11,00:05:41,05:47:41,#628,95,610,35-39,Male 
762,Pamela WILLIAMS ,14:07:39,65-69 (1),Female (152),01:29:47,00:09:40,07:14:30,00:04:39,05:09:01,#131,1,152,65-69,Female 
763,Masanori SAKURAI ,14:07:50,50-54 (67),Male (611),01:18:45,00:07:23,06:27:35,00:09:32,06:04:32,#355,67,611,50-54,Male 
764,Melanie ABRAMS ,14:08:08,60-64 (2),Female (153),01:48:40,00:07:29,06:05:30,00:12:00,05:54:27,#1159,2,153,60-64,Female 
765,Meredith ROBERTS ,14:08:53,35-39 (28),Female (154),01:18:27,00:05:49,06:38:31,00:09:56,05:56:08,#723,28,154,35-39,Female 
766,Storme MARQUES ,14:09:09,45-49 (134),Male (612),01:16:07,00:09:01,06:09:26,00:10:22,06:24:11,#926,134,612,45-49,Male 
767,Elaine Wei Wei HOLMES ,14:09:19,45-49 (32),Female (155),01:09:46,00:13:15,07:10:33,00:11:14,05:24:29,#997,32,155,45-49,Female 
768,Mark DENNY ,14:09:32,40-44 (109),Male (613),01:20:12,00:09:48,06:57:41,00:10:20,05:31:28,#748,109,613,40-44,Male 
769,Junichi TANAKA ,14:09:52,50-54 (68),Male (614),01:40:52,00:13:01,06:21:53,00:09:59,05:44:05,#1078,68,614,50-54,Male 
770,Thomas LYNCH ,14:10:14,35-39 (96),Male (615),01:33:21,00:07:19,06:19:44,00:09:24,06:00:24,#658,96,615,35-39,Male 
771,Michael PARROTTE ,14:10:54,55-59 (37),Male (616),01:25:24,00:13:53,06:25:46,00:13:49,05:52:00,#14009,37,616,55-59,Male 
772,Justin CORCORAN ,14:10:59,50-54 (69),Male (617),01:18:10,00:14:49,07:11:37,00:12:40,05:13:41,#1026,69,617,50-54,Male 
773,Julie CROSSEY ,14:11:22,50-54 (21),Female (156),01:24:14,00:13:40,06:55:16,00:10:10,05:28:00,#1087,21,156,50-54,Female 
774,Mark DONAGHEY ,14:11:34,30-34 (78),Male (618),01:39:55,00:08:17,06:59:45,00:08:47,05:14:47,#530,78,618,30-34,Male 
775,Momoko SUZUKI ,14:12:20,18-24 (3),Female (157),01:18:45,00:09:38,06:40:06,00:05:35,05:58:14,#440,3,157,18-24,Female 
776,Michael HOEY ,14:12:39,45-49 (135),Male (619),01:09:22,00:12:11,06:14:23,00:09:32,06:27:08,#901,135,619,45-49,Male 
777,Dusten RENSHAW ,14:12:50,35-39 (97),Male (620),01:07:38,00:07:41,05:52:37,00:11:14,06:53:38,#680,97,620,35-39,Male 
778,Kevin CAMPBELL ,14:12:54,55-59 (38),Male (621),01:06:58,00:08:13,05:45:54,00:08:09,07:03:37,#1103,38,621,55-59,Male 
779,Gim-Siong ONG ,14:13:10,50-54 (70),Male (622),01:38:41,00:14:36,06:32:42,00:14:57,05:32:12,#1054,70,622,50-54,Male 
780,Corey O'BRIEN ,14:13:23,35-39 (98),Male (623),01:21:34,00:07:04,06:31:11,00:04:54,06:08:38,#669,98,623,35-39,Male 
781,Pia LASSON ,14:13:52,50-54 (22),Female (158),01:41:35,00:09:56,06:38:39,00:11:13,05:32:28,#1092,22,158,50-54,Female 
782,Hany YACOUB ,14:14:01,45-49 (136),Male (624),01:57:57,00:13:15,07:14:30,00:08:55,04:39:23,#975,136,624,45-49,Male 
783,Kendra HENNING ,14:14:04,35-39 (29),Female (159),01:11:02,00:05:58,07:24:10,00:07:51,05:25:01,#716,29,159,35-39,Female 
784,Sarah LLOYD ,14:14:22,35-39 (30),Female (160),01:18:26,00:06:11,06:15:06,00:05:55,06:28:41,#719,30,160,35-39,Female 
785,Jenni ANDERSON ,14:14:46,50-54 (23),Female (161),01:25:51,00:12:40,06:41:09,00:09:08,05:45:57,#1080,23,161,50-54,Female 
786,Eng Thai KOH ,14:15:44,40-44 (110),Male (625),01:31:09,00:12:45,07:08:20,00:05:55,05:17:33,#769,110,625,40-44,Male 
787,Jon Vitas GUIRITAN ,14:16:01,35-39 (99),Male (626),01:29:39,00:11:59,06:22:50,00:11:43,05:59:48,#636,99,626,35-39,Male 
788,Kylie JONES ,14:16:46,40-44 (25),Female (162),01:39:30,00:10:39,06:41:19,00:08:16,05:37:00,#841,25,162,40-44,Female 
789,Brad KENNY ,14:18:36,45-49 (137),Male (627),01:21:18,00:09:55,06:36:58,00:07:20,06:03:04,#909,137,627,45-49,Male 
790,Masae YUMOTO ,14:18:55,30-34 (18),Female (163),01:50:16,00:14:35,07:19:45,00:08:53,04:45:24,#609,18,163,30-34,Female 
791,Kate GRIFFITHS ,14:19:47,40-44 (26),Female (164),01:15:09,00:06:03,06:03:48,00:07:18,06:47:28,#395,26,164,40-44,Female 
792,Graeme ATWELL ,14:20:15,45-49 (138),Male (628),01:08:54,00:06:08,07:15:49,00:06:01,05:43:21,#14011,138,628,45-49,Male 
793,Susan JAQUES ,14:21:01,45-49 (33),Female (165),01:30:49,00:15:56,06:51:00,00:12:50,05:30:24,#998,33,165,45-49,Female 
794,Chaiyaporn THUNYANIT ,14:21:41,40-44 (111),Male (629),01:41:29,00:18:37,06:14:22,00:26:50,05:40:22,#817,111,629,40-44,Male 
795,Joni RYAN ,14:22:43,40-44 (27),Female (166),01:13:26,00:11:55,06:43:32,00:08:59,06:04:48,#850,27,166,40-44,Female 
796,Emma YOUNG ,14:22:55,40-44 (28),Female (167),01:34:25,00:09:40,06:31:00,00:08:21,05:59:27,#856,28,167,40-44,Female 
797,Roger TAO ,14:24:15,30-34 (79),Male (630),01:25:56,00:12:31,07:20:52,00:13:24,05:11:30,#578,79,630,30-34,Male 
798,Johnson TRAN ,14:24:15,30-34 (80),Male (631),01:14:41,00:23:45,07:20:50,00:13:27,05:11:30,#167,80,631,30-34,Male 
799,Wison LE ,14:24:15,30-34 (81),Male (632),01:14:41,00:23:44,07:20:52,00:13:26,05:11:30,#548,81,632,30-34,Male 
800,Karl SMITH ,14:24:37,35-39 (100),Male (633),01:25:20,00:07:53,06:49:37,00:07:27,05:54:18,#689,100,633,35-39,Male 
801,Bevan GOODREID ,14:25:20,55-59 (39),Male (634),01:07:05,00:07:04,06:46:30,00:06:18,06:18:20,#1109,39,634,55-59,Male 
802,Cale SYMONS ,14:26:31,30-34 (82),Male (635),01:16:40,00:07:16,06:25:14,00:06:50,06:30:30,#574,82,635,30-34,Male 
803,Mengxuan CHEN ,14:26:40,25-29 (54),Male (636),01:28:22,00:12:38,06:37:11,00:09:20,05:59:07,#331,54,636,25-29,Male 
804,Christophe LE YOANC ,14:26:43,50-54 (71),Male (637),01:35:22,00:11:21,07:03:36,00:08:11,05:28:12,#1043,71,637,50-54,Male 
805,Peter BILOS ,14:26:55,50-54 (72),Male (638),01:30:42,00:10:50,06:30:42,00:09:21,06:05:18,#13020,72,638,50-54,Male 
806,Kazuyoshi UMEZAWA ,14:28:27,35-39 (101),Male (639),01:11:14,00:07:19,05:43:51,00:09:43,07:16:19,#11029,101,639,35-39,Male 
807,Neil HALL ,14:29:22,50-54 (73),Male (640),01:35:18,00:05:24,06:38:50,00:07:11,06:02:38,#1035,73,640,50-54,Male 
808,Steven EAVES ,14:29:38,45-49 (139),Male (641),01:12:53,00:07:10,06:35:34,00:08:20,06:25:39,#884,139,641,45-49,Male 
809,Tsunetaka SAKAMOTO ,14:29:56,55-59 (40),Male (642),01:30:04,00:10:10,06:31:03,00:10:18,06:08:19,#1124,40,642,55-59,Male 
810,Kate ALLAN ,14:30:10,45-49 (34),Female (168),01:21:52,00:09:39,06:51:45,00:07:07,05:59:45,#982,34,168,45-49,Female 
811,Karen STYLES ,14:30:41,55-59 (7),Female (169),01:37:28,00:13:29,07:06:37,00:11:35,05:21:30,#1146,7,169,55-59,Female 
812,Brent WRIGHT ,14:30:55,50-54 (74),Male (643),01:16:57,00:11:56,06:13:39,00:11:58,06:36:24,#1073,74,643,50-54,Male 
813,Tanya DAVENPORT ,14:31:02,35-39 (31),Female (170),01:22:41,00:09:30,06:59:02,00:08:54,05:50:53,#711,31,170,35-39,Female 
814,Wing Kei YAN ,14:32:08,40-44 (112),Male (644),01:31:15,00:16:25,06:45:26,00:13:12,05:45:48,#826,112,644,40-44,Male 
815,Stephen WATSON ,14:32:10,50-54 (75),Male (645),01:08:10,00:06:48,06:39:20,00:09:04,06:28:47,#1069,75,645,50-54,Male 
816,Atul GODBOLE ,14:32:54,35-39 (102),Male (646),01:23:01,00:13:11,07:30:57,00:05:04,05:20:39,#632,102,646,35-39,Male 
817,Charlotte CARVER ,14:33:04,45-49 (35),Female (171),01:35:20,00:09:55,07:07:10,00:05:23,05:35:13,#987,35,171,45-49,Female 
818,Sean TAN MENG LOONG ,14:33:13,45-49 (140),Male (647),01:23:55,00:14:22,06:29:38,00:08:46,06:16:30,#961,140,647,45-49,Male 
819,Emily RICHARDSON ,14:33:45,25-29 (15),Female (172),01:08:40,00:04:45,06:51:38,00:05:06,06:23:35,#507,15,172,25-29,Female 
820,Joshua STRICKLAND ,14:34:01,30-34 (83),Male (648),01:09:37,00:07:40,05:57:35,00:11:56,07:07:10,#573,83,648,30-34,Male 
821,John COOKE ,14:34:42,55-59 (41),Male (649),01:33:55,00:07:22,06:33:35,00:07:41,06:12:08,#10031,41,649,55-59,Male 
822,Yen Hun KANG ,14:35:26,45-49 (141),Male (650),01:25:59,00:09:56,06:59:21,00:13:48,05:46:20,#905,141,650,45-49,Male 
823,Sid JAMES ,14:38:27,Special Team (1),Male (651),01:11:44,00:07:18,08:32:07,00:08:47,04:38:29,#1264,1,651,Special Team,Male 
824,Kevin FERGUSSON ,14:38:28,Special Team (2),Male (652),01:11:44,00:07:18,08:32:06,00:08:49,04:38:29,#1265,2,652,Special Team,Male 
825,Hayato KOBAYASHI ,14:38:40,18-24 (16),Male (653),01:04:33,00:06:54,06:25:35,00:08:08,06:53:28,#430,16,653,18-24,Male 
826,Damian TAY ,14:39:49,45-49 (142),Male (654),01:35:31,00:14:57,06:15:36,00:10:49,06:22:54,#962,142,654,45-49,Male 
827,Scott DARKES ,14:39:50,40-44 (113),Male (655),01:34:34,00:07:34,06:52:01,00:12:19,05:53:20,#746,113,655,40-44,Male 
828,Nick CRANE ,14:40:56,55-59 (42),Male (656),01:23:41,00:12:26,05:56:05,00:09:40,06:59:02,#1107,42,656,55-59,Male 
829,Carrie CRANE ,14:40:58,50-54 (24),Female (173),01:26:43,00:09:22,06:34:40,00:06:32,06:23:40,#1086,24,173,50-54,Female 
830,Lewk LA NOBLE ,14:42:12,35-39 (103),Male (657),01:28:46,00:10:10,07:06:23,00:06:23,05:50:28,#649,103,657,35-39,Male 
831,Catherine TALBOT ,14:43:04,55-59 (8),Female (174),01:44:16,00:09:12,07:13:11,00:06:09,05:30:14,#10037,8,174,55-59,Female 
832,Maia SILVERTHORNE ,14:43:31,30-34 (19),Female (175),01:20:38,00:12:13,06:25:04,00:08:01,06:37:34,#605,19,175,30-34,Female 
833,Katsutoshi HASHIMOTO ,14:44:48,50-54 (76),Male (658),01:22:56,00:05:39,06:21:25,00:07:56,06:46:51,#1036,76,658,50-54,Male 
834,Ian CRAFTER ,14:45:45,60-64 (14),Male (659),01:47:50,00:07:29,06:22:16,00:06:03,06:22:05,#1149,14,659,60-64,Male 
835,Weerapon NOOTHAE ,14:45:55,45-49 (143),Male (660),01:43:32,00:03:47,07:09:57,00:03:57,05:44:40,#939,143,660,45-49,Male 
836,Santosh YADAV ,14:47:31,40-44 (114),Male (661),01:39:08,00:11:56,07:25:11,00:08:25,05:22:50,#825,114,661,40-44,Male 
837,Liz JEAL ,14:47:40,40-44 (29),Female (176),01:27:25,00:06:21,07:15:14,00:05:48,05:52:50,#840,29,176,40-44,Female 
838,Tiri SANDERSON ,14:48:03,45-49 (36),Female (177),01:30:42,00:11:11,06:54:35,00:09:58,06:01:36,#408,36,177,45-49,Female 
839,Kelly LLOYD ,14:48:27,45-49 (37),Female (178),01:32:06,00:07:07,07:01:29,00:05:58,06:01:45,#1001,37,178,45-49,Female 
840,Eiko HIBINO ,14:49:15,30-34 (20),Female (179),01:21:52,00:16:34,07:27:24,00:07:49,05:35:35,#596,20,179,30-34,Female 
841,Chengwei Jeremy NG ,14:49:32,35-39 (104),Male (662),01:27:36,00:08:17,06:35:00,00:07:55,06:30:42,#668,104,662,35-39,Male 
842,Wanfeng LUO ,14:49:35,35-39 (105),Male (663),01:31:43,00:09:54,06:22:46,00:08:08,06:37:02,#657,105,663,35-39,Male 
843,Noriaki YAMAMOTO ,14:49:52,50-54 (77),Male (664),01:49:29,00:08:27,06:42:42,00:08:38,06:00:35,#1075,77,664,50-54,Male 
844,Pam TUNAS ,14:50:34,50-54 (25),Female (180),01:44:21,00:08:07,06:52:19,00:10:07,05:55:39,#1097,25,180,50-54,Female 
845,Hiromi YAMAGUCHI ,14:51:21,55-59 (43),Male (665),01:42:43,00:25:54,07:12:30,00:23:03,05:07:08,#1135,43,665,55-59,Male 
846,Adrian TEH ,14:51:41,30-34 (84),Male (666),01:50:04,00:06:54,06:39:13,00:07:51,06:07:37,#416,84,666,30-34,Male 
847,Glynis GREENOUGH ,14:54:15,65-69 (2),Female (181),01:28:34,00:12:44,06:45:11,00:14:20,06:13:24,#276,2,181,65-69,Female 
848,David DUARTE ,14:54:20,35-39 (106),Male (667),01:47:09,00:11:09,06:45:35,00:13:26,05:57:00,#360,106,667,35-39,Male 
849,Frank MATTHEWS ,14:55:22,60-64 (15),Male (668),01:12:33,00:05:59,06:24:49,00:10:26,07:01:33,#14004,15,668,60-64,Male 
850,Shirley ROLSTON ,14:55:25,65-69 (3),Female (182),01:36:22,00:07:27,06:38:52,00:05:19,06:27:24,#180,3,182,65-69,Female 
851,Terry DE BOO ,14:56:27,65-69 (4),Male (669),01:38:34,00:12:28,06:52:48,00:12:16,06:00:19,#1165,4,669,65-69,Male 
852,Thanapol SUK-KAVESSAKO ,14:57:36,40-44 (115),Male (670),01:17:29,00:16:28,07:01:11,00:08:56,06:13:29,#810,115,670,40-44,Male 
853,Chika TAKEMATSU ,14:57:51,45-49 (38),Female (183),01:43:16,00:09:10,07:00:37,00:11:56,05:52:50,#1014,38,183,45-49,Female 
854,Travis BENTLEY ,14:57:53,40-44 (116),Male (671),01:13:19,00:11:42,06:13:11,00:01:30,07:18:08,#733,116,671,40-44,Male 
855,Tamaki YAMAMOTO ,14:58:32,45-49 (144),Male (672),01:21:37,00:13:36,07:15:02,00:10:24,05:57:51,#976,144,672,45-49,Male 
856,Athiwat RATTANAKORN ,14:59:11,40-44 (117),Male (673),01:33:41,00:12:19,06:36:52,00:08:57,06:27:20,#799,117,673,40-44,Male 
857,Peerapong LAOPRAPASSORN ,14:59:11,40-44 (118),Male (674),01:30:43,00:13:17,06:44:18,00:14:45,06:16:07,#771,118,674,40-44,Male 
858,Henry CHUA ,14:59:16,45-49 (145),Male (675),01:32:25,00:06:33,07:06:25,00:06:48,06:07:03,#348,145,675,45-49,Male 
859,Paul HEALY ,15:00:02,25-29 (55),Male (676),01:33:12,00:09:48,07:05:33,00:08:02,06:03:24,#460,55,676,25-29,Male 
860,Eriko KUWATA ,15:00:21,30-34 (21),Female (184),01:17:49,00:10:45,06:41:07,00:07:00,06:43:38,#597,21,184,30-34,Female 
861,Teigan HALL ,15:00:42,25-29 (16),Female (185),01:13:28,00:09:37,07:00:13,00:05:46,06:31:36,#498,16,185,25-29,Female 
862,Yuzo KUMAKIRI ,15:01:28,35-39 (107),Male (677),01:25:30,00:10:59,06:47:24,00:12:07,06:25:25,#648,107,677,35-39,Male 
863,Jonathan COLLYER-PETALE ,15:01:41,30-34 (85),Male (678),01:25:23,00:12:30,06:58:30,00:09:44,06:15:32,#523,85,678,30-34,Male 
864,Sharon CALLISTER ,15:02:19,55-59 (9),Female (186),01:25:30,00:09:06,07:40:28,00:10:20,05:36:53,#1141,9,186,55-59,Female 
865,Jennifer MCMILLAN ,15:02:39,50-54 (26),Female (187),01:20:15,00:12:27,06:41:31,00:11:45,06:36:39,#1094,26,187,50-54,Female 
866,Sophie WRIGHT ,15:03:01,25-29 (17),Female (188),01:50:04,00:08:25,07:03:02,00:06:49,05:54:39,#509,17,188,25-29,Female 
867,Jose Alejandro ARRIOLA SALAZAR ,15:03:40,40-44 (119),Male (679),01:20:54,00:11:50,06:34:55,00:10:51,06:45:08,#730,119,679,40-44,Male 
868,Jane ANDERSON ,15:03:42,50-54 (27),Female (189),01:21:43,00:09:35,06:42:03,00:07:39,06:42:40,#1079,27,189,50-54,Female 
869,Darren STEVENS ,15:04:58,PC (1),Male (680),01:31:30,00:16:11,07:08:04,00:12:56,05:56:16,#1269,1,680,PC,Male 
870,Arif Rachman ARIFIN ,15:05:53,50-54 (78),Male (681),01:29:47,00:06:37,06:31:37,00:08:01,06:49:49,#1015,78,681,50-54,Male 
871,Somsakul ARAMWATANAPONG ,15:06:42,50-54 (28),Female (190),01:38:01,00:09:46,07:06:45,00:07:32,06:04:36,#264,28,190,50-54,Female 
872,Mahathir MOHAMED SAMAN ,15:06:46,35-39 (108),Male (682),01:42:37,00:15:20,06:50:34,00:12:58,06:05:15,#665,108,682,35-39,Male 
873,Gimkoon KOH ,15:10:13,45-49 (146),Male (683),01:56:04,00:17:02,06:36:43,00:11:21,06:09:00,#914,146,683,45-49,Male 
874,Tetsuro YOSHIMI ,15:12:15,40-44 (120),Male (684),01:39:12,00:14:26,07:05:52,00:14:44,05:57:58,#827,120,684,40-44,Male 
875,Yusuke EMOTO ,15:13:23,30-34 (86),Male (685),01:17:16,00:08:28,07:01:51,00:06:04,06:39:43,#531,86,685,30-34,Male 
876,Eng Hin CHEW ,15:13:54,55-59 (44),Male (686),01:38:24,00:16:07,07:08:16,00:09:52,06:01:12,#1105,44,686,55-59,Male 
877,Jeb SMITH ,15:16:01,30-34 (87),Male (687),01:23:48,00:10:03,07:23:46,00:05:49,06:12:32,#571,87,687,30-34,Male 
878,Benjamin MADDERN ,15:17:58,25-29 (56),Male (688),01:44:04,00:09:08,07:00:24,00:10:42,06:13:37,#470,56,688,25-29,Male 
879,Alan MULLIN ,15:18:37,40-44 (121),Male (689),01:34:13,00:06:44,06:49:19,00:10:19,06:38:00,#785,121,689,40-44,Male 
880,Keith YEE ,15:19:06,35-39 (109),Male (690),01:28:34,00:14:52,06:50:34,00:14:47,06:30:17,#702,109,690,35-39,Male 
881,Andrew  LIO ,15:19:57,35-39 (110),Male (691),01:55:13,00:12:19,07:09:03,00:09:29,05:53:51,Chin Kum,110,691,35-39,Male 
882,Peter LYNCH ,15:21:06,55-59 (45),Male (692),01:33:45,00:09:15,07:07:59,00:09:30,06:20:35,#1115,45,692,55-59,Male 
883,Thomas LYNCH ,15:21:09,25-29 (57),Male (693),01:33:05,00:09:11,07:08:48,00:09:30,06:20:34,#468,57,693,25-29,Male 
884,Kok YILONG ,15:22:14,30-34 (88),Male (694),01:40:50,00:09:43,07:10:20,00:12:22,06:08:57,#589,88,694,30-34,Male 
885,Andrew TUBB ,15:22:14,55-59 (46),Male (695),01:36:55,00:07:52,07:07:45,00:07:58,06:21:41,#1131,46,695,55-59,Male 
886,Sally MILLER ,15:22:52,35-39 (32),Female (191),01:50:57,00:08:51,07:03:23,00:05:52,06:13:46,#721,32,191,35-39,Female 
887,Manami GOTO ,15:23:08,45-49 (39),Female (192),01:38:38,00:14:29,06:59:35,00:11:56,06:18:27,#993,39,192,45-49,Female 
888,Eiji NISHIDA ,15:23:21,50-54 (79),Male (696),01:27:41,00:08:33,07:42:56,00:05:55,05:58:14,#1052,79,696,50-54,Male 
889,Justine CALLAGHAN ,15:25:01,40-44 (30),Female (193),01:41:01,00:11:39,07:23:27,00:09:20,05:59:31,#836,30,193,40-44,Female 
890,Rebekah ASHBY ,15:25:11,55-59 (10),Female (194),01:35:51,00:08:45,07:04:44,00:13:10,06:22:39,#1139,10,194,55-59,Female 
891,Takako SHIOZAWA ,15:25:40,55-59 (11),Female (195),01:54:35,00:16:34,07:12:17,00:09:59,05:52:12,#1144,11,195,55-59,Female 
892,Uwe PREIN ,15:25:49,60-64 (16),Male (697),01:37:18,00:10:38,07:00:18,00:08:05,06:29:27,#1154,16,697,60-64,Male 
893,Sitthisin WANSANOH ,15:27:23,40-44 (122),Male (698),01:49:20,00:07:14,07:19:33,00:08:37,06:02:37,#821,122,698,40-44,Male 
894,Dexter LOO ,15:27:27,35-39 (111),Male (699),01:47:36,00:07:52,06:19:42,00:09:24,07:02:50,#656,111,699,35-39,Male 
895,Fiona LE GASSICK ,15:28:30,45-49 (40),Female (196),01:23:55,00:10:27,07:15:16,00:11:05,06:27:45,#1000,40,196,45-49,Female 
896,Anna WOODHOUSE ,15:28:53,50-54 (29),Female (197),01:29:49,00:09:46,06:56:22,00:09:07,06:43:46,#415,29,197,50-54,Female 
897,Peter MCKENNA ,15:29:16,45-49 (147),Male (700),01:10:56,00:06:10,06:30:55,00:07:51,07:33:21,#929,147,700,45-49,Male 
898,Jamie MELDRUM ,15:30:10,45-49 (148),Male (701),01:20:40,00:09:08,05:34:32,00:14:19,08:11:29,#930,148,701,45-49,Male 
899,Peter VAUGHAN ,15:31:07,65-69 (5),Male (702),01:20:36,00:17:05,07:15:20,00:10:26,06:27:38,#14014,5,702,65-69,Male 
900,Neil PERCY ,15:32:38,55-59 (47),Male (703),01:25:33,00:09:15,07:38:28,00:05:32,06:13:48,#1121,47,703,55-59,Male 
901,Tony HIGH ,15:33:28,50-54 (80),Male (704),01:21:56,00:11:09,07:00:50,00:13:54,06:45:37,#1037,80,704,50-54,Male 
902,Fiona BUCKLAND ,15:33:46,45-49 (41),Female (198),01:28:40,00:08:11,06:59:40,00:08:12,06:49:02,#324,41,198,45-49,Female 
903,Melissa SHORTMAN ,15:36:15,35-39 (33),Female (199),01:24:07,00:11:23,07:00:29,00:11:30,06:48:45,#725,33,199,35-39,Female 
904,Nobuo SUZUKI ,15:36:30,55-59 (48),Male (705),01:42:27,00:19:30,07:18:48,00:07:53,06:07:50,#1128,48,705,55-59,Male 
905,Ashley ZAHM ,15:37:06,35-39 (34),Female (200),01:27:18,00:15:22,07:16:19,00:09:31,06:28:36,#726,34,200,35-39,Female 
906,Nathan ZAHM ,15:37:07,35-39 (112),Male (706),01:28:10,00:14:23,07:16:24,00:09:32,06:28:36,#703,112,706,35-39,Male 
907,Jonathan TAN ,15:37:16,30-34 (89),Male (707),01:49:51,00:12:40,06:55:09,00:44:57,05:54:37,#577,89,707,30-34,Male 
908,Adam BEAL ,15:39:18,35-39 (113),Male (708),01:29:56,00:10:13,06:45:00,00:13:29,07:00:38,#611,113,708,35-39,Male 
909,Natalie ABBOTT ,15:39:45,40-44 (31),Female (201),01:25:02,00:08:54,07:01:58,00:07:24,06:56:25,#829,31,201,40-44,Female 
910,Liang ZHAO ,15:40:07,35-39 (114),Male (709),01:47:19,00:19:28,06:31:49,00:29:49,06:31:40,#704,114,709,35-39,Male 
911,Michael SHORTALL ,15:40:52,40-44 (123),Male (710),01:06:35,00:07:35,06:57:59,00:12:06,07:16:35,#806,123,710,40-44,Male 
